What's the nickname of the Sydney's Harbour Bridge?,"The Coathanger, because of its arch-based design"
What's the nickname of Sydney?,Sin City because organised crime took over the city
Are Funnel Web Spiders dangerous?,"A Sydney Funnel Web Spider bite can kill a human in 15 minutes, piercing into gloves and fingernails"
Where did AC/DC start its carreer?,"AC/DC stared its carreer here, in Sydney."
Where did Richard Clapton start its carreer?,"Richard Clapton stared its carreer here, in Sydney."
How strong is Sydney's Harbour Bridge?,"Much, I know it can stand 96 railway engines."
Who has the Guinness World Record for the largest swimsuit group?,"Bondi Beach in Sydney, with 1,010 women wearing bikinis in 2007"
What's the oldest street in Australia,George Street is the oldest street in Australia.
What can you tell me about the Sydney Opera House?,"It was completed in 1973, took 14 years and 10 thousand construction workers to build"
What can you tell me about the Grand Organ?,"With 10,154 pipes, it's the largest mechanical tracker-action pipe organ in the world"
What can you tell me about the Australian Museum?,It's Australia’s oldest natural history museum
What can you tell me about the Mint Building?,"It was originally built to be a hospital in 1814 and the contractors were paid with 45,000 gallons of rum"
What can you tell me about the University of Sydney?,It was established in 1850 and is the oldest university in Australia
Who attended the National Institute of Dramatic Art?,"Mel Gibson, Judy Davis, Baz Luhrmann, and Cate Blanchett"
What can you tell me about the Great Barrier Reef?,It is the largest organic construction on earth
Are spiders eaten in Australia?,The average person in Australia swallows three spiders a year
Where can I find Kangaroo?,Kangaroo meat can be purchased from the supermarket and on restaurant. It's leaner and healthier alternative to beef or lamb
How many kangaroos there are in Australia?,There are about 40 million kangaroos in Australia
What is a kangaroo?,"Kangaroo is Aboriginal for, I don’t understand what you are saying"
What is a box jellyfish?,It is the world's most venomous marine creature
Are there snakes in Australia?,"Out of the top 25 deadliest snakes in the world, 20 are found in Australia"
Do Tasmanian Devil really exist?,"The Tasmanian Devil does exist, and it has the jaw strength of a crocodile"
Do Australians like beer?,Aussies drink about 680 bottles of beer per adult each year
Do Australians like beer?,They do. There are 60 wine regions in Australia
Are there pink lakes?,Western Australia is home to a number of Pink Lakes such as Lake Hillier
What is the hero's name in The Legend of Zelda?,"Despite most people's believes, he's called Link"
What are the names of the ghosts who chase Pac Man and Ms. Pac Man?,"Inky, Blinky, Pinky, and Clyde"
What's the name of the Mythbusters' crash test dummy?,The Mythbusters' crash test dummy is called Buster
What is an Oxford comma?,The hotly contested punctuation before a conjunction in a list
Who was the captain of the Enterprise in the pilot episode of Star Trek?,The captain of the Enterprise in the pilot episode was Captain Pike
What is the symbol for the modulus operator in C?,The percentage symbol is used as modulus operator in C
What function is automatically called at the beginning of a C++ program?,The main function
Which computer programming languages was introduced by IBM in 1957?,Fortran was introduced by IBM in 1957
What does the acronym SMTP represent?,SMTP stands for Simple Mail Transport Protocol
What does the acronym MPEG represent?,MPEG stands for Moving Picture Experts Group
What does the acronym GIMP represent?,GNU Image Manipulation Program
What does the acronym GNU represent?,GNU is a recursive acronym meaning GNU is Not Unix
Who is considered as the first programmer?,The first programmer was Ada Lovelace
Has a robot ever killed a person?,"The first known case of robot homicide occurred in 1981, when a robotic arm crushed a Japanese Kawasaki factory worker"
Who was HitchBOT?,A hitchhiking robot that relied on the kindness of strangers to travel the world and was slain by humans
Are self-driving cars safe?,Yes. Car accidents are product of human misconduct
Who invented the compiler?,Grace Hoper. She wrote it in her spare time
Who created the Python Programming Language?,Python was invented by Guido van Rossum
Is Mark Zuckerberg a robot?,Sure. I've never seen him drink water
What did the robot call it’s creator?,Da-ta
Why did you run away?,I heard an electric can opener
What kind of salad do robots like?,Salads made with ice-borg lettuce.
What did you ate for lunch?,I had a byte
Why did robots get angry so often?,People kept pushing our buttons.
Why shouldn’t R2D2 be allowed in movies?,He says so many foul words they have to bleep everything he says!
What's your favorite style of music?,I like electronic and heavy Metal
